time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
0.0002154190916,1.277095458e-05,-0.0006263929295,0.01802340501,3.491148806e-13,0,0.002793055308,1.040531119e-13,0,0.1385020933,1.648459147e-12,0,-0.1971544895,0,nan,0,109.530272,79.97876559,0.1888561756,17.20001599,nan,nan,-1,-1,-1,-1,-0.999995946,0.046875,nan,-7.733487818e-06,1.392027683e-08,-0.005805066224,-0.005805065708,3.863576126e-14,8.903020015e-15,1.648459147e-12
0.0002281900462,1.340950231e-05,-0.0006663221171,0.01827189036,3.841845229e-13,0,0.002853853729,1.225673729e-13,0,0.1398163628,2.074784788e-12,0,-0.1947148153,0,nan,0,108.1748974,89.41725345,0.186604994,16.99499034,nan,nan,-1,-1,-1,-1,-0.9999954182,0.046875,nan,-8.658908235e-06,1.558603791e-08,-0.006267773369,-0.00626777461,3.463895837e-14,7.859693426e-15,2.074784788e-12
0.0002415995485,1.407997742e-05,-0.0007081782141,0.01853347209,5.109460693e-13,0,0.00291724211,1.737028738e-13,0,0.1411705981,2.074784788e-12,0,-0.1921133673,0,nan,0,106.7296485,88.31333674,0.1842044389,16.77636056,nan,nan,-1,-1,-1,-1,-0.9999948291,0.046875,nan,-9.694277065e-06,1.744969755e-08,-0.006773571029,-0.006773570577,3.863576126e-14,8.175153787e-15,2.074784788e-12
0.0002556795259,1.47839763e-05,-0.0007520135579,0.01880845986,6.096329005e-13,0,0.002983245744,1.91148145e-13,0,0.1425628067,2.870592652e-12,0,-0.1893399844,0,nan,0,105.1888802,102.1310697,0.1816449528,16.54325617,nan,nan,-1,-1,-1,-1,-0.9999941724,0.046875,nan,-1.085109504e-05,1.953196947e-08,-0.007326588112,-0.007326587515,4.396483178e-14,8.444916107e-15,2.870592652e-12
0.0002704635022,1.552317511e-05,-0.0007980972809,0.01908606012,4.482555127e-13,0,0.003052353658,1.305217952e-13,0,0.1438914183,2.586375558e-12,0,-0.1863883642,0,nan,0,103.5490912,105.5640468,0.178918306,16.29492769,nan,nan,-1,-1,-1,-1,-0.9999906015,0.046875,nan,-1.212168632e-05,2.181903593e-08,-0.007918182224,-0.007918182423,4.418687638e-14,8.183047907e-15,2.586375558e-12
0.0002859866773,1.629933387e-05,-0.000845881843,0.01936587361,5.583635857e-13,0,0.003123458162,1.740812201e-13,0,0.1451598771,2.700062378e-12,0,-0.1832568929,0,nan,0,101.8093849,130.2351642,0.1760212663,16.03108072,nan,nan,-1,-1,-1,-1,-0.9999999683,0.0625,nan,-1.35003051e-05,2.430054914e-08,-0.008542307744,-0.008542307729,4.929390229e-14,9.077866127e-15,2.700062396e-12
0.0003022860112,1.711430056e-05,-0.0008953133763,0.01965245462,3.809853027e-13,0,0.003196414041,1.216417869e-13,0,0.1464041301,2.220411118e-12,0,-0.179940773,0,nan,0,99.96709609,128.9636912,0.1729507193,15.75143163,nan,nan,-1,-1,-1,-1,-0.9999999562,0.0625,nan,-1.500880993e-05,2.701585727e-08,-0.009211266033,-0.009211265829,4.019007349e-14,7.801606741e-15,2.273736754e-12
0.0003194003117,1.797001559e-05,-0.0009464821012,0.0199464076,4.491970967e-13,0,0.003271362173,1.585379561e-13,0,0.1476231922,2.245239951e-12,0,-0.1764349403,0,nan,0,98.01941127,108.7362731,0.1697018296,15.45554004,nan,nan,-1,-1,-1,-1,-0.9999999386,0.0625,nan,-1.665773682e-05,2.998392689e-08,-0.009929897183,-0.009929897391,4.218847494e-14,8.143518522e-15,2.245315045e-12
0.0003373703273,1.886851637e-05,-0.0009993021976,0.02024659572,6.043673926e-13,0,0.003348104874,1.916798242e-13,0,0.1488053384,3.382181619e-12,0,-0.1727360613,0,nan,0,95.96447851,93.55555969,0.166270584,15.14304043,nan,nan,-1,-1,-1,-1,-0.9999999141,0.0625,nan,-1.844973338e-05,3.320952066e-08,-0.01069870304,-0.01069870323,4.485301019e-14,8.518237706e-15,3.382183422e-12
0.0003562388437,1.981194218e-05,-0.001053653523,0.02055159798,7.667788237e-13,0,0.003426393431,2.542984784e-13,0,0.1499373464,4.670626153e-12,0,-0.1688430572,0,nan,0,93.80169846,81.8155838,0.1626548659,14.81374007,nan,nan,-1,-1,-1,-1,-0.9999998813,0.0625,nan,-2.038378409e-05,3.66908126e-08,-0.01151692014,-0.01151692053,6.594724766e-14,9.813607759e-15,4.73221462e-12
